Detalle_ID|Factura|Num_Tracking|Categoria|Subcategoria|Producto_ID|Producto|Unidades|Precio_Unitario|Oferta_ID
84103|SO63416||Accessories|Tires and Tubes|229|ML Road Tire|1|24.99|1
84005|SO63375||Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29|2
84069|SO63403||Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29|1
84209|SO63460||Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29|2
84220|SO63464||Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29|2
84275|SO63482||Accessories|Tires and Tubes|170|Patch Kit/8 Patches|1|2.29|1
83981|SO63364||Accessories|Fenders|175|Fender Set - Mountain|1|21.98|1
84068|SO63403||Accessories|Fenders|175|Fender Set - Mountain|1|21.98|1
84072|SO63404||Accessories|Fenders|175|Fender Set - Mountain|1|21.98|1
83982|SO63364||Accessories|Cleaners|174|Bike Wash - Dissolver|1|7.95|1
84024|SO63383||Accessories|Cleaners|174|Bike Wash - Dissolver|1|7.95|1
84070|SO63403||Accessories|Cleaners|174|Bike Wash - Dissolver|1|7.95|1
84210|SO63460||Accessories|Cleaners|174|Bike Wash - Dissolver|1|7.95|1
84052|SO63396||Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99|1
84168|SO63440||Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99|1
84270|SO63480||Accessories|Helmets|4|Sport-100 Helmet, Red|1|34.99|1
83983|SO63365||Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99|1
84033|SO63388||Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99|1
84179|SO63445||Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99|1
84203|SO63458||Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99|1
84236|SO63469||Accessories|Tires and Tubes|218|Mountain Tire Tube|1|4.99|1
84142|SO63430||Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99|1
84146|SO63432||Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99|1
84238|SO63469||Accessories|Helmets|5|Sport-100 Helmet, Black|1|34.99|1
83984|SO63366||Clothing|Jerseys|178|Short-Sleeve Classic Jersey, S|1|53.99|1
83985|SO63366||Clothing|Caps|9|AWC Logo Cap|1|8.99|1
84048|SO63395||Clothing|Caps|9|AWC Logo Cap|1|8.99|1
84056|SO63398||Clothing|Caps|9|AWC Logo Cap|1|8.99|1
84080|SO63407||Clothing|Caps|9|AWC Logo Cap|1|8.99|1
84084|SO63408||Clothing|Caps|9|AWC Logo Cap|1|8.99|1
84187|SO63449||Clothing|Caps|9|AWC Logo Cap|1|8.99|1
84251|SO63473||Clothing|Caps|9|AWC Logo Cap|1|8.99|1
84139|SO63428||Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99|1
84171|SO63441||Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99|1
84180|SO63445||Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99|1
84205|SO63458||Accessories|Helmets|8|Sport-100 Helmet, Blue|1|34.99|1
84147|SO63432||Clothing|Jerseys|10|Long-Sleeve Logo Jersey, S|1|49.99|1
84186|SO63449||Clothing|Jerseys|10|Long-Sleeve Logo Jersey, S|1|49.99|1
84164|SO63439||Clothing|Socks|172|Racing Socks, L|1|8.99|1
84058|SO63399||Clothing|Jerseys|12|Long-Sleeve Logo Jersey, L|1|49.99|1
84165|SO63439||Clothing|Jerseys|12|Long-Sleeve Logo Jersey, L|1|49.99|1
83991|SO63369||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2294.99|1
83993|SO63370||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2294.99|1
83992|SO63369||Accessories|Hydration Packs|177|Hydration Pack - 70 oz.|1|54.99|1
83994|SO63370||Accessories|Hydration Packs|177|Hydration Pack - 70 oz.|1|54.99|1
84023|SO63383||Accessories|Hydration Packs|177|Hydration Pack - 70 oz.|1|54.99|1
84095|SO63412||Accessories|Hydration Packs|177|Hydration Pack - 70 oz.|1|54.99|1
84136|SO63428||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2294.99|1
84067|SO63403||Accessories|Tires and Tubes|227|HL Mountain Tire|1|35|1
84003|SO63375||Accessories|Tires and Tubes|231|Touring Tire|1|28.99|1
84050|SO63396||Accessories|Tires and Tubes|231|Touring Tire|1|28.99|1
84218|SO63464||Accessories|Tires and Tubes|231|Touring Tire|1|28.99|1
84004|SO63375||Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99|1
84051|SO63396||Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99|1
84057|SO63399||Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99|1
84163|SO63438||Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99|1
84219|SO63464||Accessories|Tires and Tubes|220|Touring Tire Tube|1|4.99|1
84137|SO63428||Accessories|Bottles and Cages|168|Mountain Bottle Cage|1|9.99|1
84206|SO63459||Accessories|Bottles and Cages|168|Mountain Bottle Cage|1|9.99|1
84250|SO63473||Accessories|Bottles and Cages|168|Mountain Bottle Cage|1|9.99|1
84022|SO63383||Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99|1
84040|SO63391||Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99|1
84046|SO63394||Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99|1
84047|SO63395||Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99|1
84078|SO63407||Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99|1
84083|SO63408||Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99|1
84093|SO63412||Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99|1
84138|SO63428||Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|1|4.99|1
