Detalle_ID|Factura|Num_Tracking|Categoria|Subcategoria|Producto_ID|Producto|Unidades|Precio_Unitario|Oferta_ID
95573|SO67271|E734-4CEC-A8|Accessories|Helmets|4|Sport-100 Helmet, Red|3|20.994|1
95578|SO67271|E734-4CEC-A8|Accessories|Helmets|5|Sport-100 Helmet, Black|3|20.994|1
95549|SO67271|E734-4CEC-A8|Accessories|Helmets|8|Sport-100 Helmet, Blue|4|20.994|1
95570|SO67271|E734-4CEC-A8|Clothing|Caps|9|AWC Logo Cap|4|5.394|1
95524|SO67270|685A-440D-8C|Clothing|Jerseys|11|Long-Sleeve Logo Jersey, M|1|29.994|1
95552|SO67271|E734-4CEC-A8|Clothing|Jerseys|11|Long-Sleeve Logo Jersey, M|8|29.994|1
95556|SO67271|E734-4CEC-A8|Clothing|Jerseys|12|Long-Sleeve Logo Jersey, L|4|29.994|1
95539|SO67270|685A-440D-8C|Components|Road Frames|14|HL Road Frame - Red, 62|2|858.9|1
95538|SO67270|685A-440D-8C|Components|Road Frames|15|HL Road Frame - Red, 44|2|858.9|1
95568|SO67271|E734-4CEC-A8|Clothing|Jerseys|180|Short-Sleeve Classic Jersey, L|3|32.394|1
95555|SO67271|E734-4CEC-A8|Clothing|Vests|161|Classic Vest, S|10|38.1|1
95534|SO67270|685A-440D-8C|Components|Road Frames|19|LL Road Frame - Black, 58|1|202.332|1
95572|SO67271|E734-4CEC-A8|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|4|2.994|1
95548|SO67271|E734-4CEC-A8|Accessories|Bike Racks|173|Hitch Rack - 4-Bike|3|72|1
95550|SO67271|E734-4CEC-A8|Accessories|Cleaners|174|Bike Wash - Dissolver|3|4.77|1
95567|SO67271|E734-4CEC-A8|Clothing|Jerseys|178|Short-Sleeve Classic Jersey, S|7|32.394|1
95579|SO67271|E734-4CEC-A8|Clothing|Vests|162|Classic Vest, M|3|38.1|1
95571|SO67271|E734-4CEC-A8|Accessories|Hydration Packs|177|Hydration Pack - 70 oz.|2|32.994|1
95533|SO67270|685A-440D-8C|Components|Road Frames|35|LL Road Frame - Black, 52|2|202.332|1
95547|SO67271|E734-4CEC-A8|Clothing|Gloves|156|Half-Finger Gloves, M|5|14.694|1
95569|SO67271|E734-4CEC-A8|Clothing|Jerseys|181|Short-Sleeve Classic Jersey, XL|7|32.394|1
95553|SO67271|E734-4CEC-A8|Bikes|Road Bikes|296|Road-750 Black, 52|2|323.994|1
95541|SO67270|685A-440D-8C|Bikes|Road Bikes|270|Road-350-W Yellow, 40|12|986.5742|2
95561|SO67271|E734-4CEC-A8|Bikes|Road Bikes|270|Road-350-W Yellow, 40|4|1020.594|1
95530|SO67270|685A-440D-8C|Bikes|Road Bikes|273|Road-350-W Yellow, 48|10|1020.594|1
95580|SO67271|E734-4CEC-A8|Bikes|Road Bikes|273|Road-350-W Yellow, 48|3|1020.594|1
95540|SO67270|685A-440D-8C|Components|Pedals|235|LL Road Pedal|4|24.294|1
95554|SO67271|E734-4CEC-A8|Components|Pedals|235|LL Road Pedal|2|24.294|1
95526|SO67270|685A-440D-8C|Bikes|Road Bikes|295|Road-750 Black, 48|6|323.994|1
95558|SO67271|E734-4CEC-A8|Bikes|Road Bikes|295|Road-750 Black, 48|1|323.994|1
95527|SO67270|685A-440D-8C|Bikes|Road Bikes|94|Road-550-W Yellow, 38|4|672.294|1
95559|SO67271|E734-4CEC-A8|Bikes|Road Bikes|94|Road-550-W Yellow, 38|1|672.294|1
95543|SO67270|685A-440D-8C|Bikes|Road Bikes|271|Road-350-W Yellow, 42|2|1020.594|1
95562|SO67271|E734-4CEC-A8|Bikes|Road Bikes|271|Road-350-W Yellow, 42|1|1020.594|1
95520|SO67270|685A-440D-8C|Components|Pedals|236|ML Road Pedal|4|37.254|1
95546|SO67271|E734-4CEC-A8|Components|Pedals|236|ML Road Pedal|2|37.254|1
95519|SO67270|685A-440D-8C|Clothing|Socks|172|Racing Socks, L|3|5.394|1
95551|SO67271|E734-4CEC-A8|Clothing|Socks|172|Racing Socks, L|11|5.2142|2
95575|SO67271|E734-4CEC-A8|Bikes|Road Bikes|89|Road-250 Red, 58|1|1466.01|1
95522|SO67270|685A-440D-8C|Bikes|Road Bikes|90|Road-250 Black, 44|5|1466.01|1
95564|SO67271|E734-4CEC-A8|Bikes|Road Bikes|90|Road-250 Black, 44|1|1466.01|1
95517|SO67270|685A-440D-8C|Bikes|Road Bikes|91|Road-250 Black, 48|4|1466.01|1
95574|SO67271|E734-4CEC-A8|Bikes|Road Bikes|91|Road-250 Black, 48|3|1466.01|1
95531|SO67270|685A-440D-8C|Bikes|Road Bikes|92|Road-250 Black, 52|1|1466.01|1
95565|SO67271|E734-4CEC-A8|Bikes|Road Bikes|92|Road-250 Black, 52|2|1466.01|1
95566|SO67271|E734-4CEC-A8|Bikes|Road Bikes|93|Road-250 Black, 58|3|1466.01|1
95528|SO67270|685A-440D-8C|Bikes|Road Bikes|95|Road-550-W Yellow, 40|1|672.294|1
95529|SO67270|685A-440D-8C|Bikes|Road Bikes|96|Road-550-W Yellow, 42|2|672.294|1
95577|SO67271|E734-4CEC-A8|Bikes|Road Bikes|96|Road-550-W Yellow, 42|1|672.294|1
95523|SO67270|685A-440D-8C|Bikes|Road Bikes|98|Road-550-W Yellow, 48|6|672.294|1
95560|SO67271|E734-4CEC-A8|Bikes|Road Bikes|98|Road-550-W Yellow, 48|3|672.294|1
95544|SO67270|685A-440D-8C|Components|Handlebars|110|HL Road Handlebars|2|72.162|1
95518|SO67270|685A-440D-8C|Components|Road Frames|119|ML Road Frame-W - Yellow, 38|2|356.898|1
95535|SO67270|685A-440D-8C|Components|Road Frames|132|ML Road Frame-W - Yellow, 44|3|356.898|1
