Detalle_ID|Factura|Num_Tracking|Categoria|Subcategoria|Producto_ID|Producto|Unidades|Precio_Unitario|Oferta_ID
95589|SO67272|F467-41BF-8B|Bikes|Mountain Bikes|287|Mountain-500 Black, 42|1|323.994|1
95592|SO67272|F467-41BF-8B|Bikes|Mountain Bikes|289|Mountain-500 Black, 48|3|323.994|1
95585|SO67272|F467-41BF-8B|Bikes|Mountain Bikes|281|Mountain-500 Silver, 40|2|338.994|1
95582|SO67272|F467-41BF-8B|Bikes|Mountain Bikes|285|Mountain-500 Silver, 52|2|338.994|1
95431|SO67265|4D58-4D76-B3|Accessories|Helmets|5|Sport-100 Helmet, Black|1|20.994|1
95595|SO67272|F467-41BF-8B|Bikes|Mountain Bikes|278|Mountain-400-W Silver, 40|3|461.694|1
95597|SO67272|F467-41BF-8B|Bikes|Mountain Bikes|79|Mountain-200 Black, 38|4|1376.994|1
95429|SO67265|4D58-4D76-B3|Accessories|Helmets|8|Sport-100 Helmet, Blue|1|20.994|1
95581|SO67272|F467-41BF-8B|Components|Mountain Frames|45|HL Mountain Frame - Silver, 38|2|818.7|1
95600|SO67272|F467-41BF-8B|Components|Handlebars|107|HL Mountain Handlebars|2|72.162|1
95583|SO67272|F467-41BF-8B|Components|Mountain Frames|202|ML Mountain Frame-W - Silver, 42|1|218.454|1
95591|SO67272|F467-41BF-8B|Bikes|Mountain Bikes|288|Mountain-500 Black, 44|1|323.994|1
95601|SO67272|F467-41BF-8B|Components|Pedals|234|HL Mountain Pedal|2|48.594|1
95593|SO67272|F467-41BF-8B|Bikes|Mountain Bikes|290|Mountain-500 Black, 52|1|323.994|1
95584|SO67272|F467-41BF-8B|Clothing|Shorts|165|Women's Mountain Shorts, M|2|41.994|1
95587|SO67272|F467-41BF-8B|Components|Mountain Frames|223|LL Mountain Frame - Black, 48|2|149.874|1
95596|SO67272|F467-41BF-8B|Bikes|Mountain Bikes|280|Mountain-400-W Silver, 46|5|461.694|1
95594|SO67272|F467-41BF-8B|Bikes|Mountain Bikes|282|Mountain-500 Silver, 42|2|338.994|1
95598|SO67272|F467-41BF-8B|Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|2|1391.994|1
95588|SO67272|F467-41BF-8B|Components|Saddles|205|LL Mountain Seat/Saddle|2|16.272|1
95430|SO67265|4D58-4D76-B3|Bikes|Road Bikes|98|Road-550-W Yellow, 48|2|672.294|1
95590|SO67272|F467-41BF-8B|Bikes|Mountain Bikes|286|Mountain-500 Black, 40|6|323.994|1
95599|SO67272|F467-41BF-8B|Components|Handlebars|105|LL Mountain Handlebars|1|26.724|1
95586|SO67272|F467-41BF-8B|Clothing|Shorts|164|Women's Mountain Shorts, S|12|40.5942|2
95602|SO67272|F467-41BF-8B|Components|Saddles|207|HL Mountain Seat/Saddle|1|31.584|1
95603|SO67272|F467-41BF-8B|Components|Mountain Frames|222|LL Mountain Frame - Black, 44|1|149.874|1
95604|SO67272|F467-41BF-8B|Components|Mountain Frames|214|LL Mountain Frame - Silver, 42|1|158.43|1
95605|SO67272|F467-41BF-8B|Components|Mountain Frames|215|LL Mountain Frame - Silver, 44|2|158.43|1
95606|SO67272|F467-41BF-8B|Components|Mountain Frames|201|ML Mountain Frame-W - Silver, 40|1|218.454|1
95607|SO67272|F467-41BF-8B|Components|Mountain Frames|40|HL Mountain Frame - Black, 42|1|809.76|1
95608|SO67272|F467-41BF-8B|Bikes|Mountain Bikes|279|Mountain-400-W Silver, 42|1|461.694|1
95609|SO67272|F467-41BF-8B|Clothing|Shorts|166|Women's Mountain Shorts, L|26|34.995|4
95610|SO67272|F467-41BF-8B|Components|Pedals|233|ML Mountain Pedal|3|37.254|1
95700|SO67276|9FD9-4B05-AA|Components|Mountain Frames|40|HL Mountain Frame - Black, 42|3|809.76|1
95701|SO67276|9FD9-4B05-AA|Accessories|Cleaners|174|Bike Wash - Dissolver|4|4.77|1
95702|SO67276|9FD9-4B05-AA|Accessories|Helmets|5|Sport-100 Helmet, Black|2|20.994|1
95703|SO67276|9FD9-4B05-AA|Accessories|Helmets|8|Sport-100 Helmet, Blue|3|20.994|1
95704|SO67276|9FD9-4B05-AA|Bikes|Mountain Bikes|80|Mountain-200 Black, 42|2|1376.994|1
95705|SO67276|9FD9-4B05-AA|Components|Mountain Frames|214|LL Mountain Frame - Silver, 42|1|158.43|1
95706|SO67276|9FD9-4B05-AA|Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|3|1391.994|1
95707|SO67276|9FD9-4B05-AA|Bikes|Mountain Bikes|287|Mountain-500 Black, 42|1|323.994|1
95708|SO67276|9FD9-4B05-AA|Components|Saddles|207|HL Mountain Seat/Saddle|1|31.584|1
95709|SO67276|9FD9-4B05-AA|Components|Mountain Frames|222|LL Mountain Frame - Black, 44|2|149.874|1
95710|SO67276|9FD9-4B05-AA|Components|Pedals|232|LL Mountain Pedal|2|24.294|1
95711|SO67276|9FD9-4B05-AA|Components|Handlebars|107|HL Mountain Handlebars|2|72.162|1
95712|SO67276|9FD9-4B05-AA|Bikes|Mountain Bikes|286|Mountain-500 Black, 40|2|323.994|1
95713|SO67276|9FD9-4B05-AA|Clothing|Jerseys|12|Long-Sleeve Logo Jersey, L|8|29.994|1
95714|SO67276|9FD9-4B05-AA|Components|Saddles|205|LL Mountain Seat/Saddle|1|16.272|1
95715|SO67276|9FD9-4B05-AA|Clothing|Shorts|166|Women's Mountain Shorts, L|11|40.5942|2
95716|SO67276|9FD9-4B05-AA|Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|4|1391.994|1
95717|SO67276|9FD9-4B05-AA|Clothing|Jerseys|11|Long-Sleeve Logo Jersey, M|3|29.994|1
95718|SO67276|9FD9-4B05-AA|Components|Mountain Frames|215|LL Mountain Frame - Silver, 44|1|158.43|1
95719|SO67276|9FD9-4B05-AA|Accessories|Hydration Packs|177|Hydration Pack - 70 oz.|4|32.994|1
95720|SO67276|9FD9-4B05-AA|Accessories|Bike Racks|173|Hitch Rack - 4-Bike|3|72|1
95721|SO67276|9FD9-4B05-AA|Components|Pedals|234|HL Mountain Pedal|1|48.594|1
95722|SO67276|9FD9-4B05-AA|Bikes|Mountain Bikes|282|Mountain-500 Silver, 42|2|338.994|1
95723|SO67276|9FD9-4B05-AA|Accessories|Bottles and Cages|167|Water Bottle - 30 oz.|4|2.994|1
95724|SO67276|9FD9-4B05-AA|Clothing|Shorts|165|Women's Mountain Shorts, M|2|41.994|1
95725|SO67276|9FD9-4B05-AA|Bikes|Mountain Bikes|288|Mountain-500 Black, 44|2|323.994|1
95726|SO67276|9FD9-4B05-AA|Bikes|Mountain Bikes|289|Mountain-500 Black, 48|2|323.994|1
95727|SO67276|9FD9-4B05-AA|Bikes|Mountain Bikes|284|Mountain-500 Silver, 48|3|338.994|1
95728|SO67276|9FD9-4B05-AA|Bikes|Mountain Bikes|277|Mountain-400-W Silver, 38|5|461.694|1
95729|SO67276|9FD9-4B05-AA|Bikes|Mountain Bikes|278|Mountain-400-W Silver, 40|2|461.694|1
95730|SO67276|9FD9-4B05-AA|Components|Mountain Frames|45|HL Mountain Frame - Silver, 38|1|818.7|1
95731|SO67276|9FD9-4B05-AA|Components|Handlebars|106|ML Mountain Handlebars|3|37.152|1
95732|SO67276|9FD9-4B05-AA|Components|Pedals|233|ML Mountain Pedal|1|37.254|1
95733|SO67276|9FD9-4B05-AA|Components|Mountain Frames|223|LL Mountain Frame - Black, 48|1|149.874|1
95734|SO67276|9FD9-4B05-AA|Components|Mountain Frames|201|ML Mountain Frame-W - Silver, 40|1|218.454|1
95735|SO67276|9FD9-4B05-AA|Components|Mountain Frames|202|ML Mountain Frame-W - Silver, 42|3|218.454|1
95736|SO67276|9FD9-4B05-AA|Clothing|Jerseys|178|Short-Sleeve Classic Jersey, S|2|32.394|1
95737|SO67276|9FD9-4B05-AA|Clothing|Jerseys|180|Short-Sleeve Classic Jersey, L|7|32.394|1
95738|SO67276|9FD9-4B05-AA|Clothing|Jerseys|181|Short-Sleeve Classic Jersey, XL|5|32.394|1
95739|SO67276|9FD9-4B05-AA|Clothing|Shorts|164|Women's Mountain Shorts, S|13|40.5942|2
95740|SO67276|9FD9-4B05-AA|Clothing|Gloves|156|Half-Finger Gloves, M|6|14.694|1
95741|SO67276|9FD9-4B05-AA|Clothing|Vests|161|Classic Vest, S|5|38.1|1
95742|SO67276|9FD9-4B05-AA|Clothing|Vests|162|Classic Vest, M|4|38.1|1
95743|SO67276|9FD9-4B05-AA|Clothing|Caps|9|AWC Logo Cap|2|5.394|1
95744|SO67276|9FD9-4B05-AA|Accessories|Helmets|4|Sport-100 Helmet, Red|3|20.994|1
95892|SO67282|50CB-4642-B1|Bikes|Touring Bikes|262|Touring-3000 Yellow, 62|1|445.41|1
95893|SO67282|50CB-4642-B1|Components|Bottom Brackets|291|LL Bottom Bracket|2|32.394|1
95894|SO67282|50CB-4642-B1|Bikes|Touring Bikes|269|Touring-2000 Blue, 54|2|728.91|1
