Detalle_ID|Factura|Num_Tracking|Categoria|Subcategoria|Producto_ID|Producto|Unidades|Precio_Unitario|Oferta_ID
95305|SO67260|6224-4229-B8|Bikes|Mountain Bikes|287|Mountain-500 Black, 42|1|323.994|1
95404|SO67263|EFEC-4A80-8F|Bikes|Mountain Bikes|287|Mountain-500 Black, 42|1|323.994|1
95439|SO67266|3CFE-46C9-88|Bikes|Mountain Bikes|287|Mountain-500 Black, 42|4|323.994|1
95306|SO67260|6224-4229-B8|Bikes|Mountain Bikes|289|Mountain-500 Black, 48|1|323.994|1
95411|SO67263|EFEC-4A80-8F|Bikes|Mountain Bikes|289|Mountain-500 Black, 48|1|323.994|1
95436|SO67266|3CFE-46C9-88|Bikes|Mountain Bikes|289|Mountain-500 Black, 48|9|323.994|1
95307|SO67260|6224-4229-B8|Bikes|Mountain Bikes|281|Mountain-500 Silver, 40|1|338.994|1
95412|SO67263|EFEC-4A80-8F|Bikes|Mountain Bikes|281|Mountain-500 Silver, 40|3|338.994|1
95441|SO67266|3CFE-46C9-88|Bikes|Mountain Bikes|281|Mountain-500 Silver, 40|2|338.994|1
95308|SO67260|6224-4229-B8|Bikes|Mountain Bikes|283|Mountain-500 Silver, 44|2|338.994|1
95414|SO67263|EFEC-4A80-8F|Bikes|Mountain Bikes|283|Mountain-500 Silver, 44|1|338.994|1
95459|SO67266|3CFE-46C9-88|Bikes|Mountain Bikes|283|Mountain-500 Silver, 44|4|338.994|1
95338|SO67260|6224-4229-B8|Accessories|Helmets|4|Sport-100 Helmet, Red|3|20.994|1
95309|SO67260|6224-4229-B8|Bikes|Mountain Bikes|285|Mountain-500 Silver, 52|2|338.994|1
95407|SO67263|EFEC-4A80-8F|Bikes|Mountain Bikes|285|Mountain-500 Silver, 52|5|338.994|1
95328|SO67260|6224-4229-B8|Accessories|Helmets|5|Sport-100 Helmet, Black|9|20.994|1
95310|SO67260|6224-4229-B8|Bikes|Mountain Bikes|278|Mountain-400-W Silver, 40|9|461.694|1
95401|SO67263|EFEC-4A80-8F|Bikes|Mountain Bikes|278|Mountain-400-W Silver, 40|3|461.694|1
95311|SO67260|6224-4229-B8|Bikes|Mountain Bikes|79|Mountain-200 Black, 38|6|1376.994|1
95460|SO67266|3CFE-46C9-88|Bikes|Mountain Bikes|79|Mountain-200 Black, 38|4|1376.994|1
95312|SO67260|6224-4229-B8|Bikes|Mountain Bikes|81|Mountain-200 Black, 46|4|1376.994|1
95458|SO67266|3CFE-46C9-88|Bikes|Mountain Bikes|81|Mountain-200 Black, 46|8|1376.994|1
95337|SO67260|6224-4229-B8|Accessories|Helmets|8|Sport-100 Helmet, Blue|10|20.994|1
